Ontology -  all instances of class from New SmartTable with Growth-Media	Matches	Composition	PLATE-ID	Observed-Growth	Object ID	Common-Name	WELL-ID	Summary
MIX0-500	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // PYRUVATE		OBS0-252 // OBS0-132 // OBS0-249 // OBS0-30 // OBS0-103 // OBS0-59 // OBS0-57	MIX0-500	PMA carbon source test + pyruvate	H8	
MIX0-537	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // CPD-1099		OBS0-253 // OBS0-245 // OBS0-28 // OBS0-104	MIX0-537	PMA carbon source test + raffinose	D1	
MIX0-538	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // CPD-1142		OBS0-253 // OBS0-245 // OBS0-28 // OBS0-104	MIX0-538	PMA carbon source test + salicin	D2	
MIX0-787	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // CPD-110		OBS0-253 // OBS0-245 // OBS0-28 // OBS0-104	MIX0-787	PMA carbon source test + salicylate	E6	
MIX0-563	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // CPD-3623		OBS0-253 // OBS0-245 // OBS0-28 // OBS0-104	MIX0-563	PMA carbon source test + sebacate	F8	
MIX0-584	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // CPD-3627		OBS0-253 // OBS0-245 // OBS0-28 // OBS0-104	MIX0-584	PMA carbon source test + sec-butylamine	H6	
MIX0-539	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // CPD-3614		OBS0-253 // OBS0-245 // OBS0-28 // OBS0-104	MIX0-539	PMA carbon source test + sedoheptulose anhydride	D3	
MIX0-484	Phenotype-Microarray-Media	SER // CPD0-2459 // CL- // NA+ // AMMONIUM // Pi // PROTON // MG+2 // K+ // FE+3 // SULFATE		OBS0-252 // OBS0-131 // OBS0-249 // OBS0-30 // OBS0-103 // OBS0-59 // OBS0-57	MIX0-484	PMA carbon source test + ser	G3	
MIX0-437	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // GLYCEROL-3P		OBS0-252 // OBS0-130 // OBS0-249 // OBS0-30 // OBS0-103 // OBS0-59 // OBS0-57	MIX0-437	PMA carbon source test + <i>sn</i>-glycerol-3-phosphate	B7	
MIX0-564	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // CPD-3624		OBS0-305 // OBS0-253 // OBS0-245 // OBS0-29 // OBS0-104	MIX0-564	PMA carbon source test + sorbate	F9	
MIX0-541	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // CPD-170		OBS0-253 // OBS0-245 // OBS0-28 // OBS0-104	MIX0-541	PMA carbon source test + stachyose	D5	
MIX0-565	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // CPD-8979		OBS0-253 // OBS0-245 // OBS0-28 // OBS0-104	MIX0-565	PMA carbon source test + succinamate	F10	
MIX0-423	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // SUC		OBS0-252 // OBS0-130 // OBS0-249 // OBS0-30 // OBS0-103 // OBS0-59 // OBS0-57	MIX0-423	PMA carbon source test + succinate	A5	
MIX0-462	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // SUCROSE		OBS0-250 // OBS0-130 // OBS0-247 // OBS0-28 // OBS0-101 // OBS0-59 // OBS0-55	MIX0-462	PMA carbon source test + sucrose	D11	
MIX0-485	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // THR		OBS0-386 // OBS0-251 // OBS0-130 // OBS0-249 // OBS0-29 // OBS0-103 // OBS0-59 // OBS0-57	MIX0-485	PMA carbon source test + thr	G4	
MIX0-453	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // THYMIDINE		OBS0-252 // OBS0-132 // OBS0-249 // OBS0-30 // OBS0-103 // OBS0-59 // OBS0-57	MIX0-453	PMA carbon source test + thymidine	C12	
MIX0-796	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // 4-HYDROXY-L-PROLINE		OBS0-253 // OBS0-245 // OBS0-28 // OBS0-104	MIX0-796	PMA carbon source test + <i>trans</i>-4-hydroxy-L-proline	G8	
MIX0-428	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // TREHALOSE		OBS0-252 // OBS0-132 // OBS0-249 // OBS0-30 // OBS0-103 // OBS0-59 // OBS0-57	MIX0-428	PMA carbon source test + trehalose	A10	
MIX0-773	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // CPD-13399		OBS0-303 // OBS0-253 // OBS0-245 // OBS0-29 // OBS0-104	MIX0-773	PMA carbon source test + turanose	D7	
MIX0-797	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // CPD-3566		OBS0-250 // OBS0-130 // OBS0-248 // OBS0-206 // OBS0-28 // OBS0-102 // OBS0-59 // OBS0-57	MIX0-797	PMA carbon source test + Tween 20	C5	
MIX0-798	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // CPD-3567		OBS0-250 // OBS0-130 // OBS0-247 // OBS0-207 // OBS0-28 // OBS0-101 // OBS0-58 // OBS0-57	MIX0-798	PMA carbon source test + Tween 40	D5	
MIX0-799	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // CPD-3563		OBS0-250 // OBS0-130 // OBS0-247 // OBS0-208 // OBS0-28 // OBS0-101 // OBS0-58 // OBS0-57	MIX0-799	PMA carbon source test + Tween 80	E5	
MIX0-496	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // TYRAMINE		OBS0-281 // OBS0-250 // OBS0-130 // OBS0-247 // OBS0-28 // OBS0-101 // OBS0-59 // OBS0-57	MIX0-496	PMA carbon source test + tyramine	H4	
MIX0-463	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // URIDINE		OBS0-252 // OBS0-132 // OBS0-249 // OBS0-214 // OBS0-30 // OBS0-102 // OBS0-59 // OBS0-57	MIX0-463	PMA carbon source test + uridine	D12	
MIX0-582	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // VAL		OBS0-253 // OBS0-245 // OBS0-28 // OBS0-104	MIX0-582	PMA carbon source test + val	H4	
MIX0-664	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // PYRUVATE // NA+ // CL- // CPD0-2459 // 2-Aminobutyrate		OBS0-257 // OBS0-30 // OBS0-106	MIX0-664	PMA nitrogen source test + 2-aminobutyrate	G7	
MIX0-667	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // PYRUVATE // NA+ // CL- // CPD0-2459 // CPD-3687		OBS0-356 // OBS0-257 // OBS0-30 // OBS0-106	MIX0-667	PMA nitrogen source test + 2-aminocaprylate	G10	
MIX0-637	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // PYRUVATE // NA+ // CL- // CPD0-2459 // PHENYLETHYLAMINE		OBS0-356 // OBS0-256 // OBS0-28 // OBS0-106	MIX0-637	PMA nitrogen source test + 2-phenylethylamine	E2	
MIX0-625	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // PYRUVATE // NA+ // CL- // CPD0-2459 // CPD-3662		OBS0-356 // OBS0-256 // OBS0-28 // OBS0-106	MIX0-625	PMA nitrogen source test + 2-phthalimidoglutarate	D2	
MIX0-665	Phenotype-Microarray-Media	4-AMINO-BUTYRATE // CPD0-2459 // CL- // NA+ // PYRUVATE // Pi // PROTON // MG+2 // K+ // FE+3 // SULFATE		OBS0-257 // OBS0-30 // OBS0-106	MIX0-665	PMA nitrogen source test + 4-aminobutyrate	G8	Wild-type strains of <i>E. coli</i> K-12 cannot grow in media with &gamma;-aminobutyrate (GABA; 4-aminobutyrate) as the sole source of carbon or nitrogen |CITS: [4550821]|
MIX0-668	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // PYRUVATE // NA+ // CL- // CPD0-2459 // 5-AMINOPENTANOATE		OBS0-358 // OBS0-258 // OBS0-217 // OBS0-30 // OBS0-107	MIX0-668	PMA nitrogen source test + 5-aminopentanoate	G11	
MIX0-626	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // PYRUVATE // NA+ // CL- // CPD0-2459 // 5-OXOPROLINE		OBS0-356 // OBS0-256 // OBS0-28 // OBS0-106	MIX0-626	PMA nitrogen source test + 5-oxoproline	D3	
MIX0-666	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // PYRUVATE // NA+ // CL- // CPD0-2459 // CPD-884		OBS0-256 // OBS0-28 // OBS0-106	MIX0-666	PMA nitrogen source test + 6-aminohexanoate	G9	
MIX0-639	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // PYRUVATE // NA+ // CL- // CPD0-2459 // ACETAMIDE		OBS0-356 // OBS0-256 // OBS0-28 // OBS0-106	MIX0-639	PMA nitrogen source test + acetamide	E4	
MIX0-647	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // PYRUVATE // NA+ // CL- // CPD0-2459 // ADENINE		OBS0-356 // OBS0-258 // OBS0-30 // OBS0-106	MIX0-647	PMA nitrogen source test + adenine	F2	
MIX0-648	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // PYRUVATE // NA+ // CL- // CPD0-2459 // ADENOSINE		OBS0-358 // OBS0-258 // OBS0-30 // OBS0-108	MIX0-648	PMA nitrogen source test + adenosine	F3	
MIX0-635	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // PYRUVATE // NA+ // CL- // CPD0-2459 // AGMATHINE		OBS0-356 // OBS0-257 // OBS0-30 // OBS0-106	MIX0-635	PMA nitrogen source test + agmatine	D12	
MIX0-595	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // PYRUVATE // NA+ // CL- // CPD0-2459 // L-ALPHA-ALANINE		OBS0-358 // OBS0-258 // OBS0-30 // OBS0-108	MIX0-595	PMA nitrogen source test + ala	A7	
MIX0-782	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // PYRUVATE // NA+ // CL- // CPD0-2459 // CPD-13404		OBS0-358 // OBS0-258 // OBS0-30 // OBS0-108	MIX0-782	PMA nitrogen source test + ala-asp	H1	
MIX0-783	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // PYRUVATE // NA+ // CL- // CPD0-2459 // CPD-13403		OBS0-358 // OBS0-258 // OBS0-30 // OBS0-108	MIX0-783	PMA nitrogen source test + ala-gln	H2	
MIX0-670	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // PYRUVATE // NA+ // CL- // CPD0-2459 // ALA-GLY		OBS0-358 // OBS0-258 // OBS0-30 // OBS0-108	MIX0-670	PMA nitrogen source test + ala-gly	H4	
MIX0-777	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // PYRUVATE // NA+ // CL- // CPD0-2459 // CPD-13401		OBS0-358 // OBS0-258 // OBS0-30 // OBS0-108	MIX0-777	PMA nitrogen source test + ala-his	H5	
MIX0-774	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // PYRUVATE // NA+ // CL- // CPD0-2459 // CPD-13398		OBS0-363 // OBS0-358 // OBS0-257 // OBS0-30 // OBS0-108	MIX0-774	PMA nitrogen source test + ala-leu	H6	
MIX0-775	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // PYRUVATE // NA+ // CL- // CPD0-2459 // CPD-13397		OBS0-358 // OBS0-258 // OBS0-30 // OBS0-108	MIX0-775	PMA nitrogen source test + ala-thr	H7	
MIX0-662	Phenotype-Microarray-Media	ALLANTOIN // SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // PYRUVATE // NA+ // CL- // CPD0-2459		OBS0-256 // OBS0-28 // OBS0-106	MIX0-662	PMA nitrogen source test + allantoin	G5	
MIX0-661	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // PYRUVATE // NA+ // CL- // CPD0-2459 // CPD-3684		OBS0-257 // OBS0-28 // OBS0-106	MIX0-661	PMA nitrogen source test + alloxan	G4	
MIX0-590	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // PYRUVATE // NA+ // CL- // CPD0-2459 // AMMONIA		OBS0-385 // OBS0-357 // OBS0-258 // OBS0-30 // OBS0-108	MIX0-590	PMA nitrogen source test + ammonia	A2	
MIX0-645	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // PYRUVATE // NA+ // CL- // CPD0-2459 // N-acetyl-D-galactosamine		OBS0-356 // OBS0-256 // OBS0-28 // OBS0-106	MIX0-645	PMA nitrogen source test + an N-acetyl-D-galactosamine	E12	
MIX0-596	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // PYRUVATE // NA+ // CL- // CPD0-2459 // ARG		OBS0-358 // OBS0-258 // OBS0-215 // OBS0-30 // OBS0-107	MIX0-596	PMA nitrogen source test + arg	A8	
MIX0-597	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // PYRUVATE // NA+ // CL- // CPD0-2459 // ASN		OBS0-358 // OBS0-258 // OBS0-30 // OBS0-108	MIX0-597	PMA nitrogen source test + asn	A9	
MIX0-598	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // PYRUVATE // NA+ // CL- // CPD0-2459 // L-ASPARTATE		OBS0-358 // OBS0-258 // OBS0-30 // OBS0-108	MIX0-598	PMA nitrogen source test + asp	A10	
MIX0-594	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // PYRUVATE // NA+ // CL- // CPD0-2459 // CPD-809		OBS0-356 // OBS0-256 // OBS0-28 // OBS0-106	MIX0-594	PMA nitrogen source test + biuret	A6	
MIX0-630	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // PYRUVATE // NA+ // CL- // CPD0-2459 // BUTYLAMINE		OBS0-356 // OBS0-256 // OBS0-28 // OBS0-106	MIX0-630	PMA nitrogen source test + butylamine	D7	
MIX0-599	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // PYRUVATE // NA+ // CL- // CPD0-2459 // CYS		OBS0-358 // OBS0-258 // OBS0-30 // OBS0-106	MIX0-599	PMA nitrogen source test + cys	A11	
MIX0-649	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // PYRUVATE // NA+ // CL- // CPD0-2459 // CYTIDINE		OBS0-358 // OBS0-258 // OBS0-30 // OBS0-108	MIX0-649	PMA nitrogen source test + cytidine	F4	
MIX0-650	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // PYRUVATE // NA+ // CL- // CPD0-2459 // CYTOSINE		OBS0-388 // OBS0-357 // OBS0-258 // OBS0-30 // OBS0-108	MIX0-650	PMA nitrogen source test + cytosine	F5	
MIX0-781	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // PYRUVATE // NA+ // CL- // CPD0-2459 // CPD-13407		OBS0-356 // OBS0-256 // OBS0-28 // OBS0-106	MIX0-781	PMA nitrogen source test + D,L-lactamide	E7	
MIX0-615	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // PYRUVATE // NA+ // CL- // CPD0-2459 // D-ALANINE		OBS0-358 // OBS0-258 // OBS0-30 // OBS0-108	MIX0-615	PMA nitrogen source test + D-alanine	C3	
MIX0-616	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // PYRUVATE // NA+ // CL- // CPD0-2459 // CPD-3633		OBS0-356 // OBS0-257 // OBS0-30 // OBS0-106	MIX0-616	PMA nitrogen source test + D-asparagine	C4	
MIX0-617	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // PYRUVATE // NA+ // CL- // CPD0-2459 // CPD-302		OBS0-356 // OBS0-256 // OBS0-28 // OBS0-106	MIX0-617	PMA nitrogen source test + D-aspartate	C5	
MIX0-642	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // PYRUVATE // NA+ // CL- // CPD0-2459 // GLUCOSAMINE		OBS0-358 // OBS0-258 // OBS0-30 // OBS0-108	MIX0-642	PMA nitrogen source test + D-glucosamine	E8	
MIX0-618	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // PYRUVATE // NA+ // CL- // CPD0-2459 // D-GLT		OBS0-356 // OBS0-256 // OBS0-28 // OBS0-106	MIX0-618	PMA nitrogen source test + D-glutamate	C6	
MIX0-619	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // PYRUVATE // NA+ // CL- // CPD0-2459 // CPD-219		OBS0-356 // OBS0-256 // OBS0-30 // OBS0-106	MIX0-619	PMA nitrogen source test + D-lysine	C7	
MIX0-785	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // PYRUVATE // NA+ // CL- // CPD0-2459 // D-Mannosamines		OBS0-257 // OBS0-30 // OBS0-106	MIX0-785	PMA nitrogen source test + D-mannosamine	E10	
MIX0-620	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // PYRUVATE // NA+ // CL- // CPD0-2459 // D-SERINE		OBS0-358 // OBS0-258 // OBS0-30 // OBS0-108	MIX0-620	PMA nitrogen source test + D-serine	C8	
MIX0-621	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // PYRUVATE // NA+ // CL- // CPD0-2459 // CPD-3642		OBS0-257 // OBS0-30 // OBS0-106	MIX0-621	PMA nitrogen source test + D-valine	C9	
MIX0-632	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // PYRUVATE // NA+ // CL- // CPD0-2459 // ETHANOL-AMINE		OBS0-356 // OBS0-256 // OBS0-28 // OBS0-106	MIX0-632	PMA nitrogen source test + ethanolamine	D9	
MIX0-631	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // PYRUVATE // NA+ // CL- // CPD0-2459 // ETHANAMINE		OBS0-356 // OBS0-256 // OBS0-28 // OBS0-106	MIX0-631	PMA nitrogen source test + ethylamine	D8	
MIX0-633	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // PYRUVATE // NA+ // CL- // CPD0-2459 // CPD-3682		OBS0-356 // OBS0-256 // OBS0-28 // OBS0-106	MIX0-633	PMA nitrogen source test + ethylenediamine	D10	
MIX0-640	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // PYRUVATE // NA+ // CL- // CPD0-2459 // FORMAMIDE		OBS0-356 // OBS0-256 // OBS0-28 // OBS0-106	MIX0-640	PMA nitrogen source test + formamide	E5	
MIX0-643	Phenotype-Microarray-Media	GALACTOSAMINE // SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // PYRUVATE // NA+ // CL- // CPD0-2459		OBS0-356 // OBS0-256 // OBS0-28 // OBS0-106	MIX0-643	PMA nitrogen source test + galactosamine	E9	
MIX0-601	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // PYRUVATE // NA+ // CL- // CPD0-2459 // GLN		OBS0-358 // OBS0-258 // OBS0-30 // OBS0-108	MIX0-601	PMA nitrogen source test + gln	B1	
MIX0-771	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // PYRUVATE // NA+ // CL- // CPD0-2459 // CPD-13394		OBS0-358 // OBS0-258 // OBS0-30 // OBS0-108	MIX0-771	PMA nitrogen source test + gln	H9	
MIX0-600	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // PYRUVATE // NA+ // CL- // CPD0-2459 // GLT		OBS0-358 // OBS0-257 // OBS0-28 // OBS0-106	MIX0-600	PMA nitrogen source test + glt	A12	
MIX0-641	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // PYRUVATE // NA+ // CL- // CPD0-2459 // CPD0-1656		OBS0-362 // OBS0-358 // OBS0-257 // OBS0-30 // OBS0-108	MIX0-641	PMA nitrogen source test + glucuronamide	E6	
MIX0-602	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // PYRUVATE // NA+ // CL- // CPD0-2459 // GLY		OBS0-387 // OBS0-357 // OBS0-258 // OBS0-30 // OBS0-108	MIX0-602	PMA nitrogen source test + gly	B2	
MIX0-770	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // PYRUVATE // NA+ // CL- // CPD0-2459 // CPD-13395		OBS0-358 // OBS0-258 // OBS0-219 // OBS0-30 // OBS0-107	MIX0-770	PMA nitrogen source test + gly-asn	H8	
MIX0-766	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // PYRUVATE // NA+ // CL- // CPD0-2459 // CPD-13393		OBS0-358 // OBS0-258 // OBS0-30 // OBS0-108	MIX0-766	PMA nitrogen source test + gly-met	H11	
MIX0-671	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // PYRUVATE // NA+ // CL- // CPD0-2459 // CPD-3569		OBS0-358 // OBS0-258 // OBS0-218 // OBS0-30 // OBS0-107	MIX0-671	PMA nitrogen source test + glycyl-L-glutamate	H10	
MIX0-651	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // PYRUVATE // NA+ // CL- // CPD0-2459 // GUANINE		OBS0-356 // OBS0-256 // OBS0-28 // OBS0-106	MIX0-651	PMA nitrogen source test + guanine	F6	
MIX0-652	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // PYRUVATE // NA+ // CL- // CPD0-2459 // GUANOSINE		OBS0-357 // OBS0-257 // OBS0-30 // OBS0-106	MIX0-652	PMA nitrogen source test + guanosine	F7	
MIX0-603	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // PYRUVATE // NA+ // CL- // CPD0-2459 // HIS		OBS0-356 // OBS0-256 // OBS0-28 // OBS0-106	MIX0-603	PMA nitrogen source test + his	B3	
MIX0-636	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // PYRUVATE // NA+ // CL- // CPD0-2459 // HISTAMINE		OBS0-356 // OBS0-256 // OBS0-28 // OBS0-106	MIX0-636	PMA nitrogen source test + histamine	E1	
MIX0-627	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // PYRUVATE // NA+ // CL- // CPD0-2459 // HYDROXYLAMINE		OBS0-356 // OBS0-256 // OBS0-28 // OBS0-106	MIX0-627	PMA nitrogen source test + hydroxylamine	D4	
MIX0-604	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // PYRUVATE // NA+ // CL- // CPD0-2459 // ILE		OBS0-356 // OBS0-256 // OBS0-28 // OBS0-106	MIX0-604	PMA nitrogen source test + ile	B4	
MIX0-657	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // PYRUVATE // NA+ // CL- // CPD0-2459 // INOSINE		OBS0-356 // OBS0-256 // OBS0-28 // OBS0-106	MIX0-657	PMA nitrogen source test + inosine	F12	
MIX0-669	Phenotype-Microarray-Media	L-2-AMINOPENTANOIC-ACID // SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // PYRUVATE // NA+ // CL- // CPD0-2459		OBS0-356 // OBS0-256 // OBS0-28 // OBS0-106	MIX0-669	PMA nitrogen source test + L-2-aminopentanoate	G12	
MIX0-776	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // PYRUVATE // NA+ // CL- // CPD0-2459 // CPD0-1445		OBS0-358 // OBS0-258 // OBS0-30 // OBS0-108	MIX0-776	PMA nitrogen source test + L-Ala-L-Glu	H3	
MIX0-622	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // PYRUVATE // NA+ // CL- // CPD0-2459 // L-CITRULLINE		OBS0-256 // OBS0-28 // OBS0-106	MIX0-622	PMA nitrogen source test + L-citrulline	C10	
MIX0-623	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // PYRUVATE // NA+ // CL- // CPD0-2459 // HOMO-SER		OBS0-256 // OBS0-30 // OBS0-106	MIX0-623	PMA nitrogen source test + L-homoserine	C11	
MIX0-624	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // PYRUVATE // NA+ // CL- // CPD0-2459 // L-ORNITHINE		OBS0-358 // OBS0-257 // OBS0-216 // OBS0-30 // OBS0-107	MIX0-624	PMA nitrogen source test + L-ornithine	C12	
MIX0-605	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // PYRUVATE // NA+ // CL- // CPD0-2459 // LEU		OBS0-356 // OBS0-256 // OBS0-28 // OBS0-106	MIX0-605	PMA nitrogen source test + leu	B5	
MIX0-606	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // PYRUVATE // NA+ // CL- // CPD0-2459 // LYS		OBS0-257 // OBS0-30 // OBS0-106	MIX0-606	PMA nitrogen source test + lys	B6	
